epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.8503,2.57314,3.20289,1.47724,0.50346,0.43077,0.44165,0.15209,2.2407,1.64291,1.30812,0.0006633,0.0006633,0.0006633
2,110.093,2.46788,1.87664,1.43676,0.55825,0.4666,0.45414,0.16403,2.1685,2.62414,1.2858,0.00126413,0.00126413,0.00126413
3,162.007,2.46423,1.63423,1.45143,0.57127,0.49846,0.48931,0.16277,2.32405,1.39156,1.37848,0.00179897,0.00179897,0.00179897
4,215.12,2.45795,1.5832,1.43097,0.70152,0.56407,0.5704,0.20974,2.18687,1.24033,1.28031,0.001703,0.001703,0.001703
5,266.913,2.41153,1.49034,1.41319,0.63322,0.59385,0.55947,0.1993,2.11712,1.33326,1.24844,0.001604,0.001604,0.001604
6,318.927,2.40135,1.51146,1.3999,0.63032,0.64,0.64153,0.24537,2.05517,1.12697,1.22516,0.001505,0.001505,0.001505
7,370.727,2.35935,1.45342,1.37597,0.76463,0.64615,0.65729,0.24891,2.11525,1.15328,1.23826,0.001406,0.001406,0.001406
8,422.646,2.33556,1.40195,1.35376,0.69473,0.61538,0.63464,0.25351,2.04644,1.13523,1.20582,0.001307,0.001307,0.001307
9,474.811,2.3224,1.39482,1.3585,0.72432,0.64673,0.66806,0.27659,1.9211,1.09342,1.14441,0.001208,0.001208,0.001208
10,528.072,2.30728,1.37095,1.33628,0.58694,0.64615,0.60554,0.25699,1.93674,1.28199,1.1387,0.001109,0.001109,0.001109
11,580.253,2.28426,1.37782,1.37238,0.71477,0.64768,0.68249,0.25242,2.06573,1.11418,1.20425,0.00101,0.00101,0.00101
12,630.135,2.2733,1.3585,1.36864,0.74441,0.61835,0.67469,0.24411,2.07691,1.10215,1.19962,0.000911,0.000911,0.000911
13,679.624,2.25961,1.35514,1.35891,0.72275,0.64,0.65493,0.25095,2.08005,1.0745,1.19916,0.000812,0.000812,0.000812
14,729.298,2.21038,1.31739,1.3389,0.76569,0.67077,0.70709,0.29537,1.93978,1.00508,1.14723,0.000713,0.000713,0.000713
15,779.192,2.2052,1.30121,1.32867,0.80539,0.71307,0.72746,0.29747,1.9649,0.97438,1.15842,0.000614,0.000614,0.000614
16,830.57,2.20585,1.26909,1.32012,0.77114,0.71385,0.74502,0.29583,2.00713,0.98762,1.17383,0.000515,0.000515,0.000515
17,880.037,2.17005,1.2518,1.30835,0.81272,0.68308,0.74182,0.30704,1.95791,0.98086,1.14537,0.000416,0.000416,0.000416
18,929.849,2.16544,1.24592,1.29928,0.80203,0.71385,0.75137,0.32113,1.89725,0.96629,1.11829,0.000317,0.000317,0.000317
19,979.174,2.14669,1.23042,1.28906,0.82249,0.70462,0.76108,0.33815,1.87258,0.91603,1.11416,0.000218,0.000218,0.000218
20,1028.95,2.11217,1.20861,1.27149,0.82761,0.72,0.77282,0.3404,1.85419,0.92926,1.10492,0.000119,0.000119,0.000119
